22.0
10.0|2025-01-11T10:02:30.733858800
6.0|2025-01-11T10:02:45.792636800
7.0|2025-01-11T10:10:05.514917900
0.0|2025-01-11T10:21:09.983623500
3.0|2025-01-11T10:22:25.042619100
2.0|2025-01-11T10:22:36.664444800
0.0|2025-01-11T10:23:17.370966
16.0|2025-01-11T10:26:49.650537100
0.0|2025-01-11T10:27:04.611869700
5.0|2025-01-11T10:27:15.488658800
11.0|2025-01-11T10:27:37.733458400
0.0|2025-01-11T10:27:51.392085600
10.0|2025-01-11T13:59:36.421419700
10.0|2025-01-11T13:59:56.098319900
0.0|2025-01-11T14:22:19.326466300
8.0|2025-01-11T14:22:34.896845600
8.0|2025-01-11T14:22:39.693487900
4.0|2025-01-11T14:37:19.561074800
7.0|2025-01-11T14:37:33.142274700
7.0|2025-01-11T14:37:47.084845500
15.0|2025-01-11T14:38:12.239795
0.0|2025-01-11T14:38:27.712829700
12.0|2025-01-11T14:47:39.443990400
3.0|2025-01-11T14:47:46.765969400
0.0|2025-01-11T14:47:50.203138600
0.0|2025-01-11T14:47:52.411983800
0.0|2025-01-11T14:47:54.758711600
0.0|2025-01-11T14:47:57.221543800
0.0|2025-01-11T14:47:59.093303500
0.0|2025-01-11T14:58:26.405680800
0.0|2025-01-11T14:58:29.454312100
0.0|2025-01-11T14:58:32.257423200
2.0|2025-01-11T14:58:38.273954300
2.0|2025-01-11T14:58:44.728218500
3.0|2025-01-11T14:59:37.097509400
9.0|2025-01-11T14:59:53.652993
22.0|2025-01-11T15:00:29.857191
1.0|2025-01-11T15:00:41.939969800
1.0|2025-01-11T15:00:46.759502100
13.0|2025-01-11T15:01:34.013820600
